User:
nsb37
Hostname:

CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                16
On-line CPU(s) list:   0-15
Thread(s) per core:    2
Core(s) per socket:    8
Socket(s):             1
NUMA node(s):          1
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz
Stepping:              4
CPU MHz:               1535.765
Computation started at:
Wed 25 Nov 11:26:53 GMT 2020
git commit: 2dc9da2c14d8b29bbb58a979480699b27e79f1a4, branch: master, compiled at: Wed 25 Nov 11:13:16 GMT 2020

Number of MPI processes used: 4

{
    "sampling": {
        "tau": "0.001",
        "maxIter": "15000",
        "seed": "300",
        "shiftDamping": "0.01",
        "initialShift": "0.0",
        "initialPop": "500.0",
        "targetPop": "10000.0",
        "mainMemoryFac": "10.0",
        "spawnMemoryFac": "10.0",
        "initiator": "true",
        "heatBath": "true"
    }
}

Starting heat bath construction
Heat bath construction done
Hartree--Fock energy: -76.0268

Starting heat bath excitation generator construction...
Heat bath excitation generator construction finished.
#  1. Iter     2. nDets  3. nSpawned           4. Shift_1        5. nWalkers_1      6. Energy_Num_1    7. Energy_Denom_1    8. Time
        23          330          527       -76.0267720534       866.1924637425    -38038.9477121198       500.2041966401     0.0006
        24          347          511       -76.0267720534       883.6109719934    -38039.5130103596       500.2041966401     0.0007
        25          359          520       -76.0267720534       899.9484348520    -38039.9396951629       500.2041966401     0.0006
        26          371          540       -76.0267720534       916.9454157781    -38040.4337866679       500.2041966401     0.0006
        27          382          510       -76.0267720534       930.8667353479    -38040.7929677766       500.2041966401     0.0006
        28          392          540       -76.0267720534       943.4617531509    -38041.1441335229       500.2041966401     0.0005
        29          399          564       -76.0267720534       954.9850414254    -38041.4529617992       500.2041966401     0.0006
        30          419          573       -76.0267720534       977.1444039342    -38042.0157685644       500.2041966401     0.0006
        31          429          577       -76.0267720534       987.8795819302    -38045.9720342812       500.2526281261     0.0008
        32          447          591       -76.0267720534      1009.9743848119    -38046.5485495930       500.2526281261     0.0006
        33          453          605       -76.0267720534      1020.4553762015    -38046.7449612866       500.2526281261     0.0006
        34          458          623       -76.0267720534      1028.5430021623    -38047.0324621463       500.2526281261     0.0006
        35          472          652       -76.0267720534      1046.3617719145    -38047.4156901285       500.2526281261     0.0006
        36          478          631       -76.0267720534      1056.9057775295    -38047.6685040095       500.2526281261     0.0006
        37          489          631       -76.0267720534      1070.6240419677    -38048.0561695426       500.2526281261     0.0007
        38          500          658       -76.0267720534      1086.6529172523    -38048.4761640333       500.2526281261     0.0007
        39          512          676       -76.0267720534      1099.5345561217    -38052.2341001036       500.2977813587     0.0007
        40          521          647       -76.0267720534      1113.7681054830    -38052.6451446753       500.2977813587     0.0007
        41          535          680       -76.0267720534      1133.1880558959    -38053.1091943008       500.2977813587     0.0006
        42          547          680       -76.0267720534      1150.4548000607    -38053.5776721991       500.2977813587     0.0007
        43          560          698       -76.0267720534      1166.3268685045    -38053.9806955754       500.2977813587     0.0007
        44          577          705       -76.0267720534      1186.0442310390    -38054.5290125882       500.2977813587     0.0006
        45          584          685       -76.0267720534      1198.0936313279    -38054.7622816319       500.2977813587     0.0007
        46          595          714       -76.0267720534      1212.1898542281    -38055.1619314690       500.2977813587     0.0006
        47          607          742       -76.0267720534      1228.1584977914    -38055.5126606532       500.2977813587     0.0007
        48          618          753       -76.0267720534      1243.4220349799    -38055.9028277497       500.2977813587     0.0007
        49          630          747       -76.0267720534      1258.6548174171    -38056.2900473712       500.2977813587     0.0007
        50          635          795       -76.0267720534      1271.1220214818    -38056.5937334919       500.2977813587     0.0007
        51          649          759       -76.0267720534      1287.7226322421    -38056.9997327706       500.2977813587     0.0008
        52          657          804       -76.0267720534      1300.1298347087    -38057.2070796425       500.2977813587     0.0007
        53          670          793       -76.0267720534      1319.2606624294    -38057.7230671416       500.2977813587     0.0007
        54          680          822       -76.0267720534      1332.9230695353    -38065.1025958828       500.3915882501     0.0008
        55          687          796       -76.0267720534      1341.7831520577    -38065.4349504260       500.3915882501     0.0008
        56          702          827       -76.0267720534      1360.6784791822    -38065.8506892839       500.3915882501     0.0007
        57          714          849       -76.0267720534      1375.2330395653    -38066.2845240477       500.3915882501     0.0007
        58          721          836       -76.0267720534      1387.0266333258    -38066.6164689161       500.3915882501     0.0008
