User:
nsb37
Hostname:

CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                16
On-line CPU(s) list:   0-15
Thread(s) per core:    2
Core(s) per socket:    8
Socket(s):             1
NUMA node(s):          1
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz
Stepping:              4
CPU MHz:               1544.062
Computation started at:
Wed 25 Nov 11:20:40 GMT 2020
git commit: 2dc9da2c14d8b29bbb58a979480699b27e79f1a4, branch: master, compiled at: Wed 25 Nov 11:13:16 GMT 2020

Number of MPI processes used: 4

{
    "sampling": {
        "tau": "0.001",
        "maxIter": "30000",
        "seed": "100",
        "shiftDamping": "0.01",
        "initialShift": "0.0",
        "initialPop": "50.0",
        "targetPop": "1000.0",
        "mainMemoryFac": "10.0",
        "spawnMemoryFac": "10.0",
        "initiator": "true"
    }
}

Starting heat bath construction
Heat bath construction done
Hartree--Fock energy: -128.496

#  1. Iter     2. nDets  3. nSpawned           4. Shift_1        5. nWalkers_1      6. Energy_Num_1    7. Energy_Denom_1    8. Time
       174          123           21      -128.4963497305       175.2884574772     -6683.7497506396        51.9596419941     0.0002
       175          123           26      -128.4963497305       175.2815786877     -6683.5981141396        51.9596419941     0.0002
       176          123           24      -128.4963497305       176.9426653962     -6683.6397915609        51.9596419941     0.0002
       177          123           17      -128.4963497305       177.2623079835     -6683.6666884728        51.9596419941     0.0002
       178          123           16      -128.4963497305       178.1879276334     -6683.6757589144        51.9596419941     0.0001
       179          124           24      -128.4963497305       180.1665796819     -6683.7423230187        51.9596419941     0.0002
       180          125           18      -128.4963497305       179.4290363103     -6683.7304571171        51.9596419941     0.0001
       181          126           19      -128.4963497305       182.3873232042     -6683.8135097061        51.9596419941     0.0001
       182          128           28      -128.4963497305       184.0733322441     -6683.9616289830        51.9596419941     0.0002
       183          128           17      -128.4963497305       182.7700556864     -6683.8802266529        51.9596419941     0.0001
       184          128           20      -128.4963497305       184.1862071425     -6683.9993609077        51.9596419941     0.0003
       185          129           18      -128.4963497305       187.3523698299     -6684.1182159400        51.9596419941     0.0002
       186          130           25      -128.4963497305       187.5907560698     -6684.0495064497        51.9596419941     0.0001
       187          130           21      -128.4963497305       185.8897682103     -6683.9509028427        51.9596419941     0.0002
       188          130           26      -128.4963497305       185.5981126366     -6683.9153187378        51.9596419941     0.0001
       189          130           22      -128.4963497305       184.4548809181     -6683.8447613652        51.9596419941     0.0002
       190          130           21      -128.4963497305       186.2795926698     -6683.9833137559        51.9596419941     0.0002
       191          130           20      -128.4963497305       187.7504493909     -6684.0833664080        51.9596419941     0.0001
       192          130           26      -128.4963497305       192.5729822918     -6684.4380128255        51.9596419941     0.0002
       193          130           24      -128.4963497305       190.2472686758     -6684.3484718600        51.9596419941     0.0001
       194          131           29      -128.4963497305       191.5776806564     -6684.4320217241        51.9596419941     0.0002
       195          131           24      -128.4963497305       192.2176040574     -6684.4870187108        51.9596419941     0.0002
       196          132           30      -128.4963497305       193.8985159671     -6684.4202965768        51.9596419941     0.0001
       197          134           34      -128.4963497305       196.4900462559     -6684.4446964223        51.9596419941     0.0001
       198          135           17      -128.4963497305       199.7843307286     -6684.6392177324        51.9596419941     0.0002
       199          136           29      -128.4963497305       199.3783634273     -6684.5839856701        51.9596419941     0.0002
       200          137           26      -128.4963497305       199.9868689377     -6684.6230342219        51.9596419941     0.0001
       201          139           27      -128.4963497305       201.6078342686     -6684.6451917434        51.9596419941     0.0002
       202          139           28      -128.4963497305       202.3635118925     -6684.6951455192        51.9596419941     0.0002
       203          139           28      -128.4963497305       201.4346701052     -6684.6830030485        51.9596419941     0.0001
       204          140           25      -128.4963497305       202.1401103901     -6684.6183202457        51.9596419941     0.0002
       205          140           20      -128.4963497305       200.8576374345     -6684.5850725404        51.9596419941     0.0001
       206          140           20      -128.4963497305       199.8969633406     -6684.5221983172        51.9596419941     0.0003
       207          140           24      -128.4963497305       201.0469729385     -6684.7739631804        51.9596419941     0.0002
       208          140           21      -128.4963497305       203.9116227416     -6684.8350200102        51.9596419941     0.0001
       209          141           24      -128.4963497305       201.5014911109     -6684.7488055222        51.9596419941     0.0001
       210          141           24      -128.4963497305       204.1032511545     -6684.7873845894        51.9596419941     0.0002
       211          143           24      -128.4963497305       202.7085827274     -6684.5648397826        51.9596419941     0.0001
       212          143           34      -128.4963497305       202.6553520600     -6684.5794214946        51.9596419941     0.0002
       213          143           30      -128.4963497305       202.5740490691     -6684.5178992306        51.9596419941     0.0002
       214          144           24      -128.4963497305       202.3247422606     -6684.4826647923        51.9596419941     0.0001
       215          144           25      -128.4963497305       203.4250809333     -6684.4734595306        51.9596419941     0.0002
       216          145           31      -128.4963497305       205.0271882456     -6684.6047656491        51.9596419941     0.0001
       217          145           30      -128.4963497305       204.8206330758     -6684.5813135810        51.9596419941     0.0002
       218          145           21      -128.4963497305       204.5326320283     -6684.5564580898        51.9596419941     0.0001
       219          146           24      -128.4963497305       205.9489786337     -6684.5736005268        51.9596419941     0.0002
       220          147           28      -128.4963497305       207.1769203844     -6684.5316546081        51.9596419941     0.0001
       221          147           26      -128.4963497305       206.7773361419     -6684.5056478827        51.9596419941     0.0002
       222          147           31      -128.4963497305       207.1782751549     -6684.5601091652        51.9596419941     0.0002
       223          147           22      -128.4963497305       208.7283493297     -6684.7768947402        51.9596419941     0.0001
       224          147           35      -128.4963497305       209.5973777929     -6684.8880295136        51.9596419941     0.0002
       225          147           17      -128.4963497305       206.5932304557     -6684.7786645570        51.9596419941     0.0001
       226          147           25      -128.4963497305       206.4557787616     -6684.7552219049        51.9596419941     0.0001
       227          147           23      -128.4963497305       206.1818923848     -6684.7221418752        51.9596419941     0.0003
       228          147           18      -128.4963497305       205.9810706437     -6684.8232760405        51.9596419941     0.0002
       229          147           18      -128.4963497305       204.4959033661     -6684.7177826564        51.9596419941     0.0002
       230          147           23      -128.4963497305       207.6057051787     -6684.7876160154        51.9596419941     0.0002
       231          147           28      -128.4963497305       209.2228608692     -6684.7947032981        51.9596419941     0.0002
       232          148           23      -128.4963497305       209.8305551134     -6684.7368013437        51.9596419941     0.0002
       233          148           27      -128.4963497305       212.4987090238     -6684.9319973568        51.9596419941     0.0002
       234          148           18      -128.4963497305       212.0357986712     -6684.8966699152        51.9596419941     0.0002
       235          148           24      -128.4963497305       211.1974120664     -6684.9482005870        51.9596419941     0.0002
       236          148           27      -128.4963497305       211.0240826647     -6684.9314791213        51.9596419941     0.0002
       237          148           25      -128.4963497305       210.9138628876     -6685.0322985800        51.9596419941     0.0002
       238          148           19      -128.4963497305       209.4412508130     -6684.9285112273        51.9596419941     0.0002
       239          150           29      -128.4963497305       211.8744173605     -6685.2115132511        51.9596419941     0.0002
       240          150           28      -128.4963497305       210.5502197439     -6685.1412286545        51.9596419941     0.0002
